DEBUG - 2021-07-31 19:41:36,417 - findfont: score(<Font 'DIN Alternate' (DIN Alternate Bold.ttf) normal normal 700 normal>) = 10.335
DEBUG - 2021-07-31 19:41:36,417 - findfont: score(<Font 'Chalkboard SE' (ChalkboardSE.ttc) normal normal 400 normal>) = 10.05
DEBUG - 2021-07-31 19:41:36,418 - findfont: score(<Font 'Luminari' (Luminari.ttf) normal normal 400 normal>) = 10.05
DEBUG - 2021-07-31 19:41:36,418 - findfont: score(<Font 'Gill Sans' (GillSans.ttc) normal normal 400 normal>) = 10.05
DEBUG - 2021-07-31 19:41:36,418 - findfont: score(<Font 'Arial Unicode MS' (Arial Unicode.ttf) normal normal 400 normal>) = 10.05
DEBUG - 2021-07-31 19:41:36,418 - findfont: score(<Font 'Brana' (Brana-Regular.ttf) normal normal 400 normal>) = 10.05
DEBUG - 2021-07-31 19:41:36,418 - findfont: score(<Font 'Gurmukhi Sangam MN' (Gurmukhi Sangam MN.ttc) normal normal 400 normal>) = 10.05
DEBUG - 2021-07-31 19:41:36,418 - findfont: score(<Font 'Apple Braille' (Apple Braille Outline 6 Dot.ttf) normal normal 400 normal>) = 10.05
DEBUG - 2021-07-31 19:41:36,418 - findfont: score(<Font 'System Font' (SFNSTextItalic.ttf) italic normal 400 normal>) = 11.05
DEBUG - 2021-07-31 19:41:36,418 - findfont: score(<Font 'STIXIntegralsUp' (STIXIntUpBol.otf) normal normal 700 normal>) = 10.335
DEBUG - 2021-07-31 19:41:36,418 - findfont: score(<Font 'Gurmukhi MN' (Gurmukhi MN.ttc) normal normal 400 normal>) = 10.05
DEBUG - 2021-07-31 19:41:36,418 - findfont: score(<Font '.SF Compact Text' (SFCompactText-Regular.otf) normal normal 400 normal>) = 10.05
DEBUG - 2021-07-31 19:41:36,418 - findfont: score(<Font 'System Font' (SFNSDisplay-HeavyItalic.otf) italic normal 800 normal>) = 11.43
DEBUG - 2021-07-31 19:41:36,418 - findfont: score(<Font 'Myanmar MN' (Myanmar MN.ttc) normal normal 250 normal>) = 10.1925
DEBUG - 2021-07-31 19:41:36,418 - findfont: score(<Font '.SF Compact Display' (SFCompactDisplay-Heavy.otf) normal normal 800 normal>) = 10.43
